"day","time_start","time_end","origin_sta","destination_sta","load"
weekday,00:00,01:00,62000000,62000000,3600.000000
weekday,00:00,01:00,50000000,50000000,5400.000000
weekday,00:00,01:00,62000000,50000000,32349.809860
weekday,00:00,01:00,50000000,62000000,25940.634678
weekday,01:00,02:00,62000000,62000000,3600.000000
weekday,01:00,02:00,50000000,50000000,5400.000000
weekday,01:00,02:00,62000000,50000000,25150.018049
weekday,01:00,02:00,50000000,62000000,28814.883454
weekday,02:00,03:00,62000000,62000000,3600.000000
weekday,02:00,03:00,50000000,50000000,5400.000000
weekday,02:00,03:00,62000000,50000000,26501.549232
weekday,02:00,03:00,50000000,62000000,32149.269220
weekday,03:00,04:00,62000000,62000000,3600.000000
weekday,03:00,04:00,50000000,50000000,5400.000000
weekday,03:00,04:00,62000000,50000000,26754.187013
weekday,03:00,04:00,50000000,62000000,29383.017102
weekday,04:00,05:00,62000000,62000000,3600.000000
weekday,04:00,05:00,50000000,50000000,5400.000000
weekday,04:00,05:00,62000000,50000000,25042.857202
weekday,04:00,05:00,50000000,62000000,28707.415406
weekday,05:00,06:00,62000000,62000000,3600.000000
weekday,05:00,06:00,50000000,50000000,5400.000000
weekday,05:00,06:00,62000000,50000000,26359.900486
weekday,05:00,06:00,50000000,62000000,24519.558212
weekday,06:00,07:00,62000000,62000000,3600.000000
weekday,06:00,07:00,50000000,50000000,5400.000000
weekday,06:00,07:00,62000000,50000000,31333.079024
weekday,06:00,07:00,50000000,62000000,24266.786410
weekday,07:00,08:00,62000000,62000000,3600.000000
weekday,07:00,08:00,50000000,50000000,5400.000000
weekday,07:00,08:00,62000000,50000000,29728.783632
weekday,07:00,08:00,50000000,62000000,30468.811979
weekday,08:00,09:00,62000000,62000000,3600.000000
weekday,08:00,09:00,50000000,50000000,5400.000000
weekday,08:00,09:00,62000000,50000000,32071.082258
weekday,08:00,09:00,50000000,62000000,18245.599973
weekday,09:00,10:00,62000000,62000000,3600.000000
weekday,09:00,10:00,50000000,50000000,5400.000000
weekday,09:00,10:00,62000000,50000000,35500.410967
weekday,09:00,10:00,50000000,62000000,22217.007753
weekday,10:00,11:00,62000000,62000000,3600.000000
weekday,10:00,11:00,50000000,50000000,5400.000000
weekday,10:00,11:00,62000000,50000000,38686.944864
weekday,10:00,11:00,50000000,62000000,25462.240460
weekday,11:00,12:00,62000000,62000000,3600.000000
weekday,11:00,12:00,50000000,50000000,5400.000000
weekday,11:00,12:00,62000000,50000000,32787.518772
weekday,11:00,12:00,50000000,62000000,15446.715050
weekday,12:00,13:00,62000000,62000000,3600.000000
weekday,12:00,13:00,50000000,50000000,5400.000000
weekday,12:00,13:00,62000000,50000000,30042.562797
weekday,12:00,13:00,50000000,62000000,23481.570211
weekday,13:00,14:00,62000000,62000000,3600.000000
weekday,13:00,14:00,50000000,50000000,5400.000000
weekday,13:00,14:00,62000000,50000000,24734.405732
weekday,13:00,14:00,50000000,62000000,27882.485030
weekday,14:00,15:00,62000000,62000000,3600.000000
weekday,14:00,15:00,50000000,50000000,5400.000000
weekday,14:00,15:00,62000000,50000000,19806.420212
weekday,14:00,15:00,50000000,62000000,34977.050827
weekday,15:00,16:00,62000000,62000000,3600.000000
weekday,15:00,16:00,50000000,50000000,5400.000000
weekday,15:00,16:00,62000000,50000000,16416.280414
weekday,15:00,16:00,50000000,62000000,34864.731060
weekday,16:00,17:00,62000000,62000000,3600.000000
weekday,16:00,17:00,50000000,50000000,5400.000000
weekday,16:00,17:00,62000000,50000000,11843.713943
weekday,16:00,17:00,50000000,62000000,39457.884888
weekday,17:00,18:00,62000000,62000000,3600.000000
weekday,17:00,18:00,50000000,50000000,5400.000000
weekday,17:00,18:00,62000000,50000000,15799.596811
weekday,17:00,18:00,50000000,62000000,38630.490689
weekday,18:00,19:00,62000000,62000000,3600.000000
weekday,18:00,19:00,50000000,50000000,5400.000000
weekday,18:00,19:00,62000000,50000000,9396.935357
weekday,18:00,19:00,50000000,62000000,35594.340501
weekday,19:00,20:00,62000000,62000000,3600.000000
weekday,19:00,20:00,50000000,50000000,5400.000000
weekday,19:00,20:00,62000000,50000000,16815.091856
weekday,19:00,20:00,50000000,62000000,37339.088871
weekday,20:00,21:00,62000000,62000000,3600.000000
weekday,20:00,21:00,50000000,50000000,5400.000000
weekday,20:00,21:00,62000000,50000000,16735.712228
weekday,20:00,21:00,50000000,62000000,27981.115455
weekday,21:00,22:00,62000000,62000000,3600.000000
weekday,21:00,22:00,50000000,50000000,5400.000000
weekday,21:00,22:00,62000000,50000000,20357.248531
weekday,21:00,22:00,50000000,62000000,35920.783736
weekday,22:00,23:00,62000000,62000000,3600.000000
weekday,22:00,23:00,50000000,50000000,5400.000000
weekday,22:00,23:00,62000000,50000000,32983.029070
weekday,22:00,23:00,50000000,62000000,13734.071238
weekday,23:00,00:00,62000000,62000000,3600.000000
weekday,23:00,00:00,50000000,50000000,5400.000000
weekday,23:00,00:00,62000000,50000000,37767.960455
weekday,23:00,00:00,50000000,62000000,14888.537757
