"day","time_start","time_end","area_level","origin_code","origin_sta_code","destination_code","destination_sta_code","load"
"weekday",00:00,01:00,"stat-area",5000,747,6200,412,77
"weekday",00:00,01:00,"stat-area",5000,722,6200,111,61
"weekday",00:00,01:00,"stat-area",5000,736,6200,412,79
"weekday",00:00,01:00,"stat-area",6200,111,5000,736,67
"weekday",00:00,01:00,"stat-area",6200,111,5000,722,65
"weekday",00:00,01:00,"stat-area",5000,736,6200,111,90
"weekday",00:00,01:00,"stat-area",5000,725,6200,111,111
"weekday",00:00,01:00,"stat-area",6200,111,5000,725,107
"weekday",00:00,01:00,"stat-area",6200,412,5000,747,88
"weekday",00:00,01:00,"stat-area",6200,412,5000,736,99
"weekday",00:00,01:00,"stat-area",5000,735,6200,412,51
"weekday",01:00,02:00,"stat-area",5000,725,6200,111,98
"weekday",01:00,02:00,"stat-area",5000,736,6200,412,87
"weekday",01:00,02:00,"stat-area",5000,746,6200,413,58
"weekday",01:00,02:00,"stat-area",6200,111,5000,722,51
"weekday",01:00,02:00,"stat-area",5000,736,6200,111,58
"weekday",01:00,02:00,"stat-area",5000,747,6200,412,66
"weekday",01:00,02:00,"stat-area",5000,722,6200,111,65
"weekday",01:00,02:00,"stat-area",6200,111,5000,725,80
"weekday",01:00,02:00,"stat-area",6200,412,5000,736,79
"weekday",01:00,02:00,"stat-area",6200,412,5000,747,62
"weekday",02:00,03:00,"stat-area",5000,725,6200,111,76
"weekday",02:00,03:00,"stat-area",6200,412,5000,736,85
"weekday",02:00,03:00,"stat-area",6200,111,5000,725,84
"weekday",02:00,03:00,"stat-area",5000,722,6200,111,63
"weekday",02:00,03:00,"stat-area",5000,736,6200,412,59
"weekday",02:00,03:00,"stat-area",6200,111,5000,722,58
"weekday",02:00,03:00,"stat-area",6200,412,5000,747,63
"weekday",02:00,03:00,"stat-area",5000,736,6200,111,56
"weekday",02:00,03:00,"stat-area",5000,747,6200,412,52
"weekday",03:00,04:00,"stat-area",6200,111,5000,725,70
"weekday",03:00,04:00,"stat-area",5000,736,6200,412,69
"weekday",03:00,04:00,"stat-area",5000,725,6200,111,79
"weekday",03:00,04:00,"stat-area",6200,412,5000,736,61
"weekday",03:00,04:00,"stat-area",6200,111,5000,736,55
"weekday",03:00,04:00,"stat-area",6200,412,5000,747,59
"weekday",03:00,04:00,"stat-area",5000,722,6200,111,54
"weekday",04:00,05:00,"stat-area",6200,412,5000,747,69
"weekday",04:00,05:00,"stat-area",6200,413,5000,746,67
"weekday",04:00,05:00,"stat-area",6200,111,5000,722,57
"weekday",04:00,05:00,"stat-area",6200,412,5000,736,73
"weekday",04:00,05:00,"stat-area",5000,736,6200,111,60
"weekday",04:00,05:00,"stat-area",6200,111,5000,736,66
"weekday",04:00,05:00,"stat-area",6200,111,5000,725,86
"weekday",04:00,05:00,"stat-area",5000,747,6200,412,52
"weekday",04:00,05:00,"stat-area",5000,736,6200,412,75
"weekday",04:00,05:00,"stat-area",5000,722,6200,111,53
"weekday",04:00,05:00,"stat-area",5000,746,6200,413,50
"weekday",04:00,05:00,"stat-area",5000,725,6200,111,83
"weekday",05:00,06:00,"stat-area",6200,111,5000,725,918
"weekday",05:00,06:00,"stat-area",5000,736,6200,111,100.8
"weekday",05:00,06:00,"stat-area",6200,412,5000,735,336
"weekday",05:00,06:00,"stat-area",6200,412,5000,747,342
"weekday",05:00,06:00,"stat-area",6200,413,5000,735,324
"weekday",05:00,06:00,"stat-area",6200,114,5000,626,336
"weekday",05:00,06:00,"stat-area",6200,412,5000,736,540
"weekday",05:00,06:00,"stat-area",5000,736,6200,412,102
"weekday",05:00,06:00,"stat-area",6200,111,5000,736,600
"weekday",05:00,06:00,"stat-area",5000,746,6200,413,67.2
"weekday",05:00,06:00,"stat-area",6200,111,5000,234,42
"weekday",05:00,06:00,"stat-area",6200,523,5000,937,42
"weekday",05:00,06:00,"stat-area",6200,314,5000,947,42
"weekday",05:00,06:00,"stat-area",6200,511,5000,343,42
"weekday",05:00,06:00,"stat-area",5000,613,6200,212,8.4
"weekday",05:00,06:00,"stat-area",6200,113,5000,721,42
"weekday",05:00,06:00,"stat-area",6200,224,5000,812,42
"weekday",05:00,06:00,"stat-area",6200,225,5000,812,42
"weekday",05:00,06:00,"stat-area",6200,421,5000,434,42
"weekday",05:00,06:00,"stat-area",6200,114,5000,937,42
"weekday",05:00,06:00,"stat-area",6200,511,5000,746,42
"weekday",05:00,06:00,"stat-area",6200,212,5000,434,42
"weekday",05:00,06:00,"stat-area",6200,224,5000,415,42
"weekday",05:00,06:00,"stat-area",6200,314,5000,411,42
"weekday",05:00,06:00,"stat-area",6200,523,5000,714,42
"weekday",05:00,06:00,"stat-area",5000,735,6200,114,8.4
"weekday",05:00,06:00,"stat-area",6200,322,5000,427,42
"weekday",05:00,06:00,"stat-area",5000,512,6200,114,8.4
"weekday",05:00,06:00,"stat-area",6200,311,5000,725,42
"weekday",05:00,06:00,"stat-area",6200,422,5000,824,42
"weekday",05:00,06:00,"stat-area",5000,135,6200,512,8.4
"weekday",05:00,06:00,"stat-area",6200,312,5000,135,42
"weekday",05:00,06:00,"stat-area",6200,412,5000,731,42
"weekday",05:00,06:00,"stat-area",6200,311,5000,531,42
"weekday",05:00,06:00,"stat-area",6200,316,5000,746,42
"weekday",05:00,06:00,"stat-area",6200,228,5000,213,42
"weekday",05:00,06:00,"stat-area",6200,423,5000,926,42
"weekday",05:00,06:00,"stat-area",6200,113,5000,947,42
"weekday",05:00,06:00,"stat-area",6200,314,5000,722,42
"weekday",05:00,06:00,"stat-area",6200,512,5000,136,42
"weekday",05:00,06:00,"stat-area",6200,411,5000,335,42
"weekday",05:00,06:00,"stat-area",6200,313,5000,347,42
"weekday",05:00,06:00,"stat-area",6200,521,5000,916,42
"weekday",05:00,06:00,"stat-area",6200,213,5000,333,42
"weekday",05:00,06:00,"stat-area",6200,512,5000,422,42
"weekday",05:00,06:00,"stat-area",6200,115,5000,521,42
"weekday",05:00,06:00,"stat-area",5000,515,6200,523,8.4
"weekday",05:00,06:00,"stat-area",6200,214,5000,427,42
"weekday",05:00,06:00,"stat-area",5000,833,6200,322,8.4
"weekday",05:00,06:00,"stat-area",5000,722,6200,421,8.4
"weekday",05:00,06:00,"stat-area",6200,227,5000,748,42
"weekday",05:00,06:00,"stat-area",5000,612,6200,315,8.4
"weekday",05:00,06:00,"stat-area",6200,512,5000,338,42
"weekday",05:00,06:00,"stat-area",6200,217,5000,335,42
"weekday",05:00,06:00,"stat-area",5000,736,6200,115,8.4
"weekday",05:00,06:00,"stat-area",6200,215,5000,833,42
"weekday",05:00,06:00,"stat-area",6200,212,5000,748,42
"weekday",05:00,06:00,"stat-area",6200,111,5000,521,42
"weekday",05:00,06:00,"stat-area",6200,512,5000,914,42
"weekday",05:00,06:00,"stat-area",6200,313,5000,748,42
"weekday",05:00,06:00,"stat-area",6200,423,5000,912,42
"weekday",05:00,06:00,"stat-area",6200,113,5000,213,42
"weekday",05:00,06:00,"stat-area",6200,224,5000,514,42
"weekday",05:00,06:00,"stat-area",6200,212,5000,215,42
"weekday",05:00,06:00,"stat-area",6200,511,5000,913,42
"weekday",05:00,06:00,"stat-area",6200,321,5000,713,42
"weekday",05:00,06:00,"stat-area",5000,626,6200,215,8.4
"weekday",05:00,06:00,"stat-area",6200,422,5000,915,42
"weekday",05:00,06:00,"stat-area",6200,316,5000,921,42
"weekday",05:00,06:00,"stat-area",6200,228,5000,943,42
"weekday",05:00,06:00,"stat-area",6200,423,5000,921,42
"weekday",05:00,06:00,"stat-area",5000,326,6200,314,8.4
"weekday",05:00,06:00,"stat-area",6200,422,5000,313,42
"weekday",05:00,06:00,"stat-area",5000,733,6200,322,8.4
"weekday",05:00,06:00,"stat-area",5000,435,6200,312,8.4
