day,time_start,time_end,origin_code,origin_sta_code,destination_code,destination_sta_code,load
weekday,09:00,10:00,6200,228,6200,228,25046
weekday,09:00,10:00,6200,217,6200,217,14121
weekday,09:00,10:00,6200,212,6200,212,11583
weekday,09:00,10:00,6200,111,6200,111,9104
weekday,09:00,10:00,6200,113,6200,113,8768
weekday,09:00,10:00,6200,421,6200,421,7665
weekday,09:00,10:00,6200,115,6200,115,7507
weekday,09:00,10:00,6200,114,6200,114,7285
weekday,09:00,10:00,8300,621,8300,621,6751
weekday,09:00,10:00,6200,315,6200,315,6545
weekday,09:00,10:00,1748,1,1748,1,6137
weekday,09:00,10:00,6200,413,6200,413,6121
weekday,09:00,10:00,6200,214,6200,214,6058
weekday,09:00,10:00,6200,314,6200,314,5860
weekday,09:00,10:00,6200,322,6200,322,5798
weekday,09:00,10:00,6200,312,6200,312,5578
weekday,09:00,10:00,6200,511,6200,511,5443
weekday,09:00,10:00,6200,423,6200,423,5213
weekday,09:00,10:00,6200,226,6200,226,5127
weekday,09:00,10:00,5000,626,5000,626,4918
weekday,09:00,10:00,6200,313,6200,313,4653
weekday,09:00,10:00,6200,215,6200,215,4493
weekday,09:00,10:00,6200,321,6200,321,4429
weekday,09:00,10:00,6200,522,6200,522,4384
weekday,09:00,10:00,6200,422,6200,422,4256
weekday,09:00,10:00,6200,523,6200,523,4174
weekday,09:00,10:00,6200,512,6200,512,3875
weekday,09:00,10:00,6200,213,6200,213,3781
weekday,09:00,10:00,6200,222,6200,222,3462
weekday,09:00,10:00,6200,412,6200,412,3422
weekday,09:00,10:00,6200,316,6200,316,3300
weekday,09:00,10:00,6200,223,6200,223,3246
weekday,09:00,10:00,6200,513,6200,513,3222
weekday,09:00,10:00,6200,514,6200,514,3219
weekday,09:00,10:00,8300,613,8300,613,3114
weekday,09:00,10:00,6600,626,6600,626,2862
weekday,09:00,10:00,8600,124,8600,124,2825
weekday,09:00,10:00,6200,311,6200,311,2749
weekday,09:00,10:00,6600,114,6600,114,2703
weekday,09:00,10:00,6200,224,6200,224,2604
weekday,09:00,10:00,5000,613,5000,613,2594
weekday,09:00,10:00,6600,113,6600,113,2508
weekday,09:00,10:00,6200,221,6200,221,2207
weekday,09:00,10:00,6200,225,6200,225,2126
weekday,09:00,10:00,6200,411,6200,411,2112
weekday,09:00,10:00,5000,435,5000,435,1852
weekday,09:00,10:00,5000,557,5000,557,1721
weekday,09:00,10:00,2660,1,2660,1,1705
weekday,09:00,10:00,8600,125,8600,125,1695
weekday,09:00,10:00,7900,126,7900,126,1490
weekday,09:00,10:00,6200,521,6200,521,1483
weekday,09:00,10:00,8300,622,8300,622,1480
weekday,09:00,10:00,5000,736,5000,736,1456
weekday,09:00,10:00,5000,914,5000,914,1440
weekday,09:00,10:00,6600,514,6600,514,1311
weekday,09:00,10:00,5000,234,5000,234,1306
weekday,09:00,10:00,6200,227,6200,227,1275
weekday,09:00,10:00,5000,621,5000,621,1274
weekday,09:00,10:00,5000,928,5000,928,1237
weekday,09:00,10:00,5000,531,5000,531,1235
weekday,09:00,10:00,6600,513,6600,513,1212
weekday,09:00,10:00,8300,611,8300,611,1212
weekday,09:00,10:00,6200,112,6200,112,1205
weekday,09:00,10:00,5000,744,5000,744,1182
weekday,09:00,10:00,2600,11,2600,11,1155
weekday,09:00,10:00,5000,725,5000,725,1143
weekday,09:00,10:00,8300,614,8300,614,1138
weekday,09:00,10:00,5000,612,5000,612,1137
weekday,09:00,10:00,2530,1,2530,1,1136
weekday,09:00,10:00,6600,613,6600,613,1094
weekday,09:00,10:00,8600,415,8600,415,1036
weekday,09:00,10:00,6600,112,6600,112,986
weekday,09:00,10:00,5000,715,5000,715,978
weekday,09:00,10:00,6600,111,6600,111,968
weekday,09:00,10:00,5000,338,5000,338,958
weekday,09:00,10:00,7900,124,7900,124,956
weekday,09:00,10:00,6200,114,6200,113,952
weekday,09:00,10:00,6200,215,6200,217,925
weekday,09:00,10:00,6200,113,6200,114,924
weekday,09:00,10:00,565,1,565,1,923
weekday,09:00,10:00,5000,235,5000,235,918
weekday,09:00,10:00,6200,217,6200,215,907
weekday,09:00,10:00,6200,522,6200,228,903
weekday,09:00,10:00,6200,228,6200,522,887
weekday,09:00,10:00,6400,61,6400,61,870
weekday,09:00,10:00,1200,32,1200,32,825
weekday,09:00,10:00,5000,747,5000,747,803
weekday,09:00,10:00,6200,213,6200,217,801
weekday,09:00,10:00,6600,612,6600,612,792
weekday,09:00,10:00,6200,315,6200,212,788
weekday,09:00,10:00,6200,421,6200,422,773
weekday,09:00,10:00,6200,422,6200,421,769
weekday,09:00,10:00,5000,533,5000,533,759
weekday,09:00,10:00,6200,212,6200,315,759
weekday,09:00,10:00,6200,217,6200,213,752
weekday,09:00,10:00,6600,511,6600,511,738
weekday,09:00,10:00,6200,228,6200,511,733
weekday,09:00,10:00,5000,611,5000,611,732
weekday,09:00,10:00,6200,511,6200,228,730
weekday,09:00,10:00,5000,437,5000,437,713
weekday,09:00,10:00,5000,731,5000,731,710
weekday,09:00,10:00,6200,115,6200,217,701
weekday,09:00,10:00,6200,523,6200,228,691
weekday,09:00,10:00,6200,217,6200,115,690
weekday,09:00,10:00,6200,421,6200,413,674
weekday,09:00,10:00,2640,10,2640,10,674
weekday,09:00,10:00,6200,228,6200,523,674
weekday,09:00,10:00,6200,223,6200,228,657
weekday,09:00,10:00,6200,212,6200,314,657
weekday,09:00,10:00,5000,712,5000,712,655
weekday,09:00,10:00,6200,228,6200,223,654
weekday,09:00,10:00,6200,314,6200,212,641
weekday,09:00,10:00,6600,523,6600,523,640
weekday,09:00,10:00,6200,413,6200,421,637
weekday,09:00,10:00,6200,228,6200,226,632
weekday,09:00,10:00,6200,226,6200,228,629
weekday,09:00,10:00,70,111,70,111,624
weekday,09:00,10:00,5000,735,5000,735,621
weekday,09:00,10:00,6600,621,6600,621,610
weekday,09:00,10:00,6600,115,6600,115,586
weekday,09:00,10:00,1746,1,1746,1,585
weekday,09:00,10:00,6300,23,6300,23,580
weekday,09:00,10:00,5000,746,5000,746,578
weekday,09:00,10:00,7900,128,7900,128,576
weekday,09:00,10:00,6200,113,6200,115,576
weekday,09:00,10:00,6200,212,6200,217,570
weekday,09:00,10:00,5000,815,5000,815,570
weekday,09:00,10:00,6200,214,6200,215,554
weekday,09:00,10:00,5000,552,5000,552,554
weekday,09:00,10:00,5000,811,5000,811,548
weekday,09:00,10:00,6100,116,6100,116,547
weekday,09:00,10:00,6200,115,6200,113,545
weekday,09:00,10:00,6200,313,6200,228,539
weekday,09:00,10:00,6200,222,6200,228,538
weekday,09:00,10:00,5000,711,5000,711,534
weekday,09:00,10:00,8300,625,8300,625,532
weekday,09:00,10:00,5000,133,5000,133,529
weekday,09:00,10:00,6200,217,6200,212,529
weekday,09:00,10:00,6400,62,6400,62,520
weekday,09:00,10:00,6200,215,6200,214,520
weekday,09:00,10:00,6200,214,6200,217,519
weekday,09:00,10:00,6200,217,6200,214,517
weekday,09:00,10:00,6200,228,8300,613,505
weekday,09:00,10:00,6200,227,6200,228,502
weekday,09:00,10:00,8300,613,6200,228,501
weekday,09:00,10:00,6600,335,6600,335,500
weekday,09:00,10:00,6200,228,6200,313,499
weekday,09:00,10:00,6200,228,6200,222,499
weekday,09:00,10:00,6200,228,6200,227,499
weekday,09:00,10:00,5000,713,5000,713,498
weekday,09:00,10:00,5000,821,5000,821,487
weekday,09:00,10:00,6200,316,6200,114,476
weekday,09:00,10:00,6600,512,6600,512,470
weekday,09:00,10:00,6200,114,6200,316,465
weekday,09:00,10:00,5000,135,5000,135,461
weekday,09:00,10:00,5000,722,5000,722,461
weekday,09:00,10:00,5000,434,5000,434,459
weekday,09:00,10:00,6200,224,6200,228,454
weekday,09:00,10:00,5000,714,5000,714,453
weekday,09:00,10:00,7900,125,7900,125,448
weekday,09:00,10:00,8300,112,8300,112,447
weekday,09:00,10:00,8400,111,8400,111,446
weekday,09:00,10:00,6200,114,6200,115,445
weekday,09:00,10:00,7000,11,7000,11,442
weekday,09:00,10:00,5000,433,5000,433,441
weekday,09:00,10:00,6200,312,6200,322,438
weekday,09:00,10:00,5000,427,5000,427,429
weekday,09:00,10:00,6600,314,6600,314,426
weekday,09:00,10:00,8300,126,8300,126,424
weekday,09:00,10:00,6200,214,6200,314,424
weekday,09:00,10:00,6200,522,6200,511,420
weekday,09:00,10:00,5000,344,5000,344,419
weekday,09:00,10:00,6600,413,6600,413,419
weekday,09:00,10:00,6200,322,6200,312,418
weekday,09:00,10:00,8700,11,8700,11,416
weekday,09:00,10:00,6200,226,6200,217,415
weekday,09:00,10:00,6200,111,6200,113,408
weekday,09:00,10:00,5000,117,5000,117,403
weekday,09:00,10:00,6200,115,6200,114,402
weekday,09:00,10:00,8300,623,8300,623,402
weekday,09:00,10:00,6200,315,6200,314,401
weekday,09:00,10:00,6200,228,6200,224,401
weekday,09:00,10:00,6200,217,6200,226,401
weekday,09:00,10:00,6200,314,6200,315,396
weekday,09:00,10:00,6100,117,6100,117,395
weekday,09:00,10:00,6200,511,6200,522,392
weekday,09:00,10:00,6200,312,6200,423,391
weekday,09:00,10:00,6200,113,6200,111,390
weekday,09:00,10:00,5000,335,5000,335,380
weekday,09:00,10:00,6200,423,6200,312,380
weekday,09:00,10:00,5000,913,5000,913,379
weekday,09:00,10:00,5000,748,5000,748,379
weekday,09:00,10:00,2630,11,2630,11,375
weekday,09:00,10:00,6200,321,6200,322,373
weekday,09:00,10:00,5000,521,5000,521,370
weekday,09:00,10:00,6200,214,6200,213,369
weekday,09:00,10:00,8500,11,8500,11,368
weekday,09:00,10:00,6200,213,6200,214,364
weekday,09:00,10:00,6200,322,6200,321,359
weekday,09:00,10:00,6600,614,6600,614,358
weekday,09:00,10:00,6200,224,6200,225,355
weekday,09:00,10:00,8300,311,8300,311,353
weekday,09:00,10:00,2400,6,2400,6,351
weekday,09:00,10:00,6200,221,6200,214,350
weekday,09:00,10:00,5000,912,5000,912,343
weekday,09:00,10:00,5000,511,5000,511,341
weekday,09:00,10:00,6200,214,6200,221,339
weekday,09:00,10:00,1772,1,1772,1,337
weekday,09:00,10:00,6600,521,6600,521,337
weekday,09:00,10:00,6200,215,6200,213,336
weekday,09:00,10:00,6200,217,6200,228,334
weekday,09:00,10:00,6600,331,6600,331,334
weekday,09:00,10:00,7400,121,7400,121,334
weekday,09:00,10:00,6200,114,6200,321,328
weekday,09:00,10:00,6200,225,6200,224,327
weekday,09:00,10:00,8300,111,8300,111,327
weekday,09:00,10:00,6200,113,6200,321,323
weekday,09:00,10:00,6100,111,6100,111,322
weekday,09:00,10:00,6200,314,6200,214,318
weekday,09:00,10:00,6200,321,6200,114,318
weekday,09:00,10:00,6600,615,6600,615,315
weekday,09:00,10:00,6200,411,6200,322,314
weekday,09:00,10:00,2650,34,2650,34,314
weekday,09:00,10:00,6200,514,6200,512,313
weekday,09:00,10:00,6200,314,6200,222,311
