"day","time_start","time_end","origin_sta","destination_sta","load"
weekday,00:00,01:00,62000011,62000011,5.000000
weekday,00:00,01:00,62000021,62000021,5.000000
weekday,00:00,01:00,62000022,62000022,5.000000
weekday,00:00,01:00,62000031,62000031,5.000000
weekday,00:00,01:00,62000032,62000032,5.000000
weekday,00:00,01:00,62000041,62000041,5.000000
weekday,00:00,01:00,62000042,62000042,5.000000
weekday,00:00,01:00,62000051,62000051,5.000000
weekday,00:00,01:00,62000052,62000052,5.000000
weekday,00:00,01:00,50000011,50000011,10.000000
weekday,00:00,01:00,50000012,50000012,10.000000
weekday,00:00,01:00,50000013,50000013,10.000000
weekday,00:00,01:00,50000021,50000021,10.000000
weekday,00:00,01:00,50000022,50000022,10.000000
weekday,00:00,01:00,50000023,50000023,10.000000
weekday,00:00,01:00,50000031,50000031,10.000000
weekday,00:00,01:00,50000032,50000032,10.000000
weekday,00:00,01:00,50000033,50000033,10.000000
weekday,00:00,01:00,50000034,50000034,10.000000
weekday,00:00,01:00,50000041,50000041,10.000000
weekday,00:00,01:00,50000042,50000042,10.000000
weekday,00:00,01:00,50000043,50000043,10.000000
weekday,00:00,01:00,50000051,50000051,10.000000
weekday,00:00,01:00,50000052,50000052,10.000000
weekday,00:00,01:00,50000053,50000053,10.000000
weekday,00:00,01:00,50000054,50000054,10.000000
weekday,00:00,01:00,50000055,50000055,10.000000
weekday,00:00,01:00,50000061,50000061,10.000000
weekday,00:00,01:00,50000062,50000062,10.000000
weekday,00:00,01:00,50000071,50000071,10.000000
weekday,00:00,01:00,50000072,50000072,10.000000
weekday,00:00,01:00,50000073,50000073,10.000000
weekday,00:00,01:00,50000074,50000074,10.000000
weekday,00:00,01:00,50000081,50000081,10.000000
weekday,00:00,01:00,50000082,50000082,10.000000
weekday,00:00,01:00,50000083,50000083,10.000000
weekday,00:00,01:00,50000091,50000091,10.000000
weekday,00:00,01:00,50000092,50000092,10.000000
weekday,00:00,01:00,50000093,50000093,10.000000
weekday,00:00,01:00,50000094,50000094,10.000000
weekday,00:00,01:00,62000011,50000011,80.225216
weekday,00:00,01:00,50000011,62000011,76.498566
weekday,00:00,01:00,62000011,50000012,62.240185
weekday,00:00,01:00,50000012,62000011,70.033669
weekday,00:00,01:00,62000011,50000013,81.094270
weekday,00:00,01:00,50000013,62000011,68.730396
weekday,00:00,01:00,62000011,50000021,95.140385
weekday,00:00,01:00,50000021,62000011,84.350617
weekday,00:00,01:00,62000011,50000022,88.475127
weekday,00:00,01:00,50000022,62000011,66.324524
weekday,00:00,01:00,62000011,50000023,86.684021
weekday,00:00,01:00,50000023,62000011,68.236628
weekday,00:00,01:00,62000011,50000031,73.820093
weekday,00:00,01:00,50000031,62000011,82.036753
weekday,00:00,01:00,62000011,50000032,81.778640
weekday,00:00,01:00,50000032,62000011,80.043942
weekday,00:00,01:00,62000011,50000033,62.861493
weekday,00:00,01:00,50000033,62000011,81.750479
weekday,00:00,01:00,62000011,50000034,81.357262
weekday,00:00,01:00,50000034,62000011,89.520564
weekday,00:00,01:00,62000011,50000041,86.113902
weekday,00:00,01:00,50000041,62000011,69.077974
weekday,00:00,01:00,62000011,50000042,68.297331
weekday,00:00,01:00,50000042,62000011,63.299461
weekday,00:00,01:00,62000011,50000043,74.151090
weekday,00:00,01:00,50000043,62000011,74.775897
weekday,00:00,01:00,62000011,50000051,87.478166
weekday,00:00,01:00,50000051,62000011,77.787599
weekday,00:00,01:00,62000011,50000052,67.972147
weekday,00:00,01:00,50000052,62000011,70.859984
weekday,00:00,01:00,62000011,50000053,74.300860
weekday,00:00,01:00,50000053,62000011,76.972396
weekday,00:00,01:00,62000011,50000054,83.406797
weekday,00:00,01:00,50000054,62000011,78.404641
weekday,00:00,01:00,62000011,50000055,66.648637
weekday,00:00,01:00,50000055,62000011,47.359368
weekday,00:00,01:00,62000011,50000061,62.779866
weekday,00:00,01:00,50000061,62000011,67.855795
weekday,00:00,01:00,62000011,50000062,78.910317
weekday,00:00,01:00,50000062,62000011,90.111005
weekday,00:00,01:00,62000011,50000071,89.315867
weekday,00:00,01:00,50000071,62000011,71.386544
